Priority,Company,Role,Location,Type,Salary,Status,Applied Date,Next Action,URL,Notes,Discovered Date,Referral Needed,Referral Status,Referral Deadline,Apply Via
LOW,METAPLORE Solutions Pvt Ltd,Software Engineer / Full Stack Developer,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4422724308,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,SAP,Application Engineering,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425832894,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,MongoDB,Software Engineer 3,"Dublin, County Dublin, Ireland",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416944050,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Rippling,Staff Software Engineer - Spend,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407544731,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Cohere,"Member of Technical Staff, Modeling","San Francisco, CA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4272083239,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Stripe,"Software Engineer, Experimental Projects","Seattle, WA",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426713187,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Worldline,Software Engineer - Principal,"Bucharest, Bucharest, Romania",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426375693,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Zalando,Senior Principal Applied Scientist - ZMS (all genders),"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416694607,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,NexTexAI,"Founding Software Engineer (Backend, Cloud & AI Infrastructure)","Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426096307,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Singapore Airlines,Information Technology - Lead Data Engineer,"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426039209,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Rakuten Asia Pte Ltd,Software Engineer,Singapore,fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4414690038,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,SDE2,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423122550,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Qualcomm,Engineer,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425895382,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,SDE-1,"Hyderabad, Telangana, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4416914953,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,SAP,Machine Learning Engineer,"Vancouver, British Columbia, Canada",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425892758,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Software Engineer Manager, Learning Platforms, Global Business Organization","London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4406549073,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Spotify,Senior Staff Machine Learning Engineer - Content Policy & Safety,"London, England, UK",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4407870749,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Grab,Senior Data Scientist (Integrity),"Singapore, Singapore",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426042101,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Amazon,"Applied Scientist II, Central Machine Learning","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423133425,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,Amazon Science,"Applied Scientist II, Central Machine Learning","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4423112887,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Google,"Product Data Scientist, Analytics, Insights, Measurement","Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427015222,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Figma,Support AI Engineer,"San Francisco, CA",fulltime,"$140,000 - $202,000 / yearly",To Apply,,Review draft,https://www.linkedin.com/jobs/view/4425880378,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Razorpay,AI Builder,"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426329888,,2026-06-10,Yes,Outreach Pending,,LinkedIn
HIGH,Microsoft,Data Analytics Manager (AI Engineer - Generative & Agentic AI),"Bengaluru, Karnataka, India",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4427000100,,2026-06-10,Yes,Outreach Pending,,LinkedIn
LOW,N26,Lead Software Engineer (ServiceNow) - RegTech,"Berlin, Berlin, Germany",fulltime,,To Apply,,Review draft,https://www.linkedin.com/jobs/view/4426381030,,2026-06-10,Yes,Outreach Pending,,LinkedIn
